nameOfTheClassDiv,Description
startInterview,This class contains the "startInterview" class button (Start Interview) that opens the interview page
restartClass,This class contains the "restartBtn" class button (Home) that returns to the home page and restarts the interview and data
buttons,This class contains the "btnStart" class button (Start) that starts the interview and the "btn" buttons that each represent an answer
divBtnShowTranscript,This class contains the "btnShowTranscript" class button (Show Transcript) that shows the transcript of the interview when clicked
transcript,This class contains the transcript and the "btnRevisitQ" class button (Revisit this question) 
conclusion,This class contains the "btnConclusion" class button (Show Conclusion) that opens the conclusion page
downloadTranscript,This class contains the "btnDownloadTranscript" class button (Download Transcript) that download the transcript 
conclusions,This class contains the conclusions
backToHome,This class contains the "backToWelcomePage" class button (Home) that returns to the home page and restarts the interview and data
